sido,exclusion_score,age,female,media_contact,region_size,region_women,region_women_10k
경남,2.8,19,0,1,2,8711,0.8711
제주,3.8,19,0,1,2,2623,0.2623
제주,3.0,19,0,1,2,2623,0.2623
부산,2.7333333333333334,19,0,1,1,5998,0.5998
대구,2.933333333333333,19,0,1,1,4737,0.4737
광주,2.466666666666667,19,0,1,1,3081,0.3081
대전,3.0,19,0,1,1,3012,0.3012
대전,3.466666666666667,19,0,0,1,3012,0.3012
경기,3.6,19,0,0,2,46581,4.6581
서울,3.2666666666666666,19,1,1,1,23251,2.3251
충북,2.466666666666667,19,1,1,2,5059,0.5059
충남,2.0,19,1,1,2,8534,0.8534
충남,2.533333333333333,19,1,1,2,8534,0.8534
경북,2.533333333333333,19,1,0,2,7071,0.7071
부산,2.1333333333333333,19,1,1,1,5998,0.5998
부산,2.8,19,1,1,1,5998,0.5998
광주,2.6,19,1,1,1,3081,0.3081
광주,2.533333333333333,19,1,0,1,3081,0.3081
대전,3.6,19,1,1,1,3012,0.3012
울산,3.1333333333333333,19,1,1,1,2904,0.2904
울산,2.1333333333333333,19,1,1,1,2904,0.2904
울산,3.1333333333333333,19,1,1,1,2904,0.2904
강원,1.7333333333333334,20,0,1,2,3611,0.3611
전북,2.6666666666666665,20,0,1,2,5218,0.5218
경남,3.7333333333333334,20,0,1,2,8711,0.8711
경남,3.066666666666667,20,0,1,2,8711,0.8711
부산,3.6,20,0,1,1,5998,0.5998
인천,3.8,20,0,1,1,10645,1.0645
광주,2.2666666666666666,20,0,1,1,3081,0.3081
대전,3.4,20,0,1,1,3012,0.3012
대전,2.3333333333333335,20,0,1,1,3012,0.3012
대전,1.6,20,0,1,1,3012,0.3012
울산,2.466666666666667,20,0,1,1,2904,0.2904
울산,3.2666666666666666,20,0,1,1,2904,0.2904
서울,2.533333333333333,20,1,1,1,23251,2.3251
충북,2.2,20,1,1,2,5059,0.5059
충남,2.6,20,1,1,2,8534,0.8534
충남,2.7333333333333334,20,1,1,3,8534,0.8534
전남,2.0,20,1,1,2,6055,0.6055
전남,3.6666666666666665,20,1,1,2,6055,0.6055
경북,3.066666666666667,20,1,1,2,7071,0.7071
경북,2.466666666666667,20,1,1,3,7071,0.7071
경남,3.4,20,1,1,2,8711,0.8711
대구,1.4,20,1,1,1,4737,0.4737
대구,3.0,20,1,1,1,4737,0.4737
인천,3.533333333333333,20,1,1,1,10645,1.0645
인천,1.6,20,1,0,1,10645,1.0645
광주,2.1333333333333333,20,1,1,1,3081,0.3081
대전,4.933333333333334,20,1,0,1,3012,0.3012
세종,3.533333333333333,20,1,1,2,754,0.0754
경기,2.7333333333333334,20,1,1,2,46581,4.6581
서울,3.4,21,0,1,1,23251,2.3251
충북,3.2,21,0,1,3,5059,0.5059
충남,2.4,21,0,1,2,8534,0.8534
전북,2.466666666666667,21,0,1,2,5218,0.5218
전북,3.2666666666666666,21,0,1,3,5218,0.5218
제주,4.0,21,0,1,2,2623,0.2623
대전,2.7333333333333334,21,0,1,1,3012,0.3012
대전,2.066666666666667,21,0,0,1,3012,0.3012
울산,2.3333333333333335,21,0,0,1,2904,0.2904
경기,3.0,21,0,1,2,46581,4.6581
경기,3.0,21,0,1,2,46581,4.6581
서울,4.8,21,1,1,1,23251,2.3251
서울,3.1333333333333333,21,1,1,1,23251,2.3251
서울,4.0,21,1,1,1,23251,2.3251
강원,1.6666666666666667,21,1,1,2,3611,0.3611
충북,1.8666666666666667,21,1,1,2,5059,0.5059
충북,1.0666666666666667,21,1,1,2,5059,0.5059
충남,2.466666666666667,21,1,1,3,8534,0.8534
전북,2.6666666666666665,21,1,1,2,5218,0.5218
경북,3.933333333333333,21,1,0,2,7071,0.7071
경북,3.1333333333333333,21,1,1,3,7071,0.7071
경남,2.933333333333333,21,1,1,2,8711,0.8711
부산,3.8,21,1,1,1,5998,0.5998
부산,2.8666666666666667,21,1,1,1,5998,0.5998
광주,4.333333333333333,21,1,1,1,3081,0.3081
대전,3.8666666666666667,21,1,1,1,3012,0.3012
