char_group,char_category,depression_pct,depression_n,suicide_pct,suicide_n,total_n
전체,전체,8.3,43,12.9,67,519
연령,19~29세,8.8,10,7.9,9,114
연령,30~39세,9.3,20,15.7,34,216
연령,40~64세,6.9,13,12.7,24,189
만 6세 자녀 유무,6세 이하 자녀 있음,11.9,19,18.2,29,159
만 6세 자녀 유무,6세 이하 자녀 없음,6.7,24,10.6,38,360
자녀 수,0명,3.8,6,3.9,6,156
자녀 수,1~2명,10.4,35,17.5,59,337
자녀 수,3명 이상,7.7,2,7.7,2,26
국내 거주 기간,4년 이하,4.1,5,4.1,5,122
국내 거주 기간,5~9년,11.3,18,15.0,24,160
국내 거주 기간,10~14년,6.6,9,12.4,17,137
국내 거주 기간,15년 이상,11.0,11,21.0,21,100
교육수준,초등학교 졸업 이하,13.3,2,0.0,0,15
교육수준,중학교 졸업,11.7,7,15.0,9,60
교육수준,고등학교 졸업,5.6,15,8.1,22,270
교육수준,대학교 졸업 이상,10.9,19,20.7,36,174
직업의 종사상 지위,임금근로자,7.2,18,15.9,40,251
직업의 종사상 지위,"자영업자, 고용주",0.0,0,16.1,5,31
직업의 종사상 지위,무급가족종사자,14.3,2,7.1,1,14
직업의 종사상 지위,경제활동 안 함,10.3,23,9.4,21,223
개인소득,소득 없음,10.0,24,9.5,23,241
개인소득,200만 원 미만,14.0,16,26.3,30,114
개인소득,200만 원 이상 300만 원 미만,1.4,2,9.1,13,143
개인소득,300만 원 이상,4.8,1,4.8,1,21
가구소득,200만 원 미만,20.2,20,31.3,31,99
가구소득,200만 원 이상 300만 원 미만,6.9,13,11.2,21,187
가구소득,300만 원 이상,3.1,6,4.7,9,191
차별 경험 유무,있음,18.7,27,30.6,44,144
차별 경험 유무,없음,4.3,16,6.1,23,375
자신 또는 집안 어려움 시 가족 외 도움 받을 사람 유무,있음,6.0,18,13.0,39,301
자신 또는 집안 어려움 시 가족 외 도움 받을 사람 유무,없음,11.5,25,12.8,28,218
자신의 몸이 아플 때 가족 외 도움 받을 사람 유무,있음,4.8,13,10.6,29,273
자신의 몸이 아플 때 가족 외 도움 받을 사람 유무,없음,12.2,30,15.5,38,246
