variable_kr,category_value,category_label,n,total_n,pct
외국인 이주민과 가장 가까운 설명3: 한국인과 서로 화합하여 일하는 외국인 근로자,1,예,475,1000,47.5
외국인 이주민과 가장 가까운 설명3: 한국인과 서로 화합하여 일하는 외국인 근로자,2,아니오,525,1000,52.5
외국인 이주민과 가장 가까운 설명6: 직장에서 부당한 대우를 받는 외국인 근로자,1,예,339,1000,33.9
외국인 이주민과 가장 가까운 설명6: 직장에서 부당한 대우를 받는 외국인 근로자,2,아니오,661,1000,66.1
외국인 이주민과 가장 가까운 설명4: 강제 추방되는 불법체류 외국인근로자,1,예,291,1000,29.1
외국인 이주민과 가장 가까운 설명4: 강제 추방되는 불법체류 외국인근로자,2,아니오,709,1000,70.9
외국인 이주민과 가장 가까운 설명2: 폭력피해를 입은 결혼이주여성,1,예,180,1000,18.0
외국인 이주민과 가장 가까운 설명2: 폭력피해를 입은 결혼이주여성,2,아니오,820,1000,82.0
외국인 이주민과 가장 가까운 설명1: 봉사활동을 하는 외국인,1,예,89,1000,8.9
외국인 이주민과 가장 가까운 설명1: 봉사활동을 하는 외국인,2,아니오,911,1000,91.1
외국인 이주민이 나의 직장상사가 될 때 불편한 정도,1,매우 불편하다,184,1000,18.4
외국인 이주민이 나의 직장상사가 될 때 불편한 정도,2,불편하다,332,1000,33.2
외국인 이주민이 나의 직장상사가 될 때 불편한 정도,3,불편하지 않다,367,1000,36.7
외국인 이주민이 나의 직장상사가 될 때 불편한 정도,4,전혀 불편하지 않다,117,1000,11.7
외국인 이주자와 관련하여 우려되는 항목8: 외국인 이주자 다수 거주지역의 생활환경이 악화될 것임,1,예,339,1000,33.9
외국인 이주자와 관련하여 우려되는 항목8: 외국인 이주자 다수 거주지역의 생활환경이 악화될 것임,2,아니오,661,1000,66.1
외국인 이주자와 관련하여 우려되는 항목5: 정부의 공공지출 부담이 커질 것임,1,예,560,1000,56.0
외국인 이주자와 관련하여 우려되는 항목5: 정부의 공공지출 부담이 커질 것임,2,아니오,440,1000,44.0
외국인 이주자와 관련하여 우려되는 항목2: 국가의 결속력이 해쳐질 것임,1,예,299,1000,29.9
외국인 이주자와 관련하여 우려되는 항목2: 국가의 결속력이 해쳐질 것임,2,아니오,701,1000,70.1
외국인 이주자와 관련하여 우려되는 항목6: 사회적 갈등을 증가시킬 것임,1,예,626,1000,62.6
외국인 이주자와 관련하여 우려되는 항목6: 사회적 갈등을 증가시킬 것임,2,아니오,374,1000,37.4
외국인 이주자와 관련하여 우려되는 항목7: 사회불안을 초래할 것임,1,예,600,1000,60.0
외국인 이주자와 관련하여 우려되는 항목7: 사회불안을 초래할 것임,2,아니오,400,1000,40.0
외국인 이주자와 관련하여 우려되는 항목3: 동네가 시끄러워질 것임,1,예,273,1000,27.3
외국인 이주자와 관련하여 우려되는 항목3: 동네가 시끄러워질 것임,2,아니오,727,1000,72.7
외국인 이주민이 나의 직장동료가 될 때 불편한 정도,1,매우 불편하다,54,1000,5.4
외국인 이주민이 나의 직장동료가 될 때 불편한 정도,2,불편하다,257,1000,25.7
외국인 이주민이 나의 직장동료가 될 때 불편한 정도,3,불편하지 않다,517,1000,51.7
외국인 이주민이 나의 직장동료가 될 때 불편한 정도,4,전혀 불편하지 않다,172,1000,17.2
외국인 이주자와 관련하여 우려되는 항목9: 기타,1,예,13,1000,1.3
외국인 이주자와 관련하여 우려되는 항목9: 기타,2,아니오,987,1000,98.7
외국인 이주자와 관련하여 우려되는 항목4,1,예,500,1000,50.0
외국인 이주자와 관련하여 우려되는 항목4,2,아니오,500,1000,50.0
